# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: C:\Rania\271 labs\lab1\output_files\DE1_SoC.csv
# Generated on: Wed Jun 13 04:41:31 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HEX0[6],Output,PIN_AH28,5A,B5A_N0,PIN_G11,,,,,,,,,,,,,,
HEX0[5],Output,PIN_AG28,5A,B5A_N0,PIN_AH20,,,,,,,,,,,,,,
HEX0[4],Output,PIN_AF28,5A,B5A_N0,PIN_AK19,,,,,,,,,,,,,,
HEX0[3],Output,PIN_AG27,5A,B5A_N0,PIN_AK13,,,,,,,,,,,,,,
HEX0[2],Output,PIN_AE28,5A,B5A_N0,PIN_AB26,,,,,,,,,,,,,,
HEX0[1],Output,PIN_AE27,5A,B5A_N0,PIN_AB21,,,,,,,,,,,,,,
HEX0[0],Output,PIN_AE26,5A,B5A_N0,PIN_AH25,,,,,,,,,,,,,,
HEX1[6],Output,PIN_AD27,5A,B5A_N0,PIN_D1,,,,,,,,,,,,,,
HEX1[5],Output,PIN_AF30,5A,B5A_N0,PIN_V18,,,,,,,,,,,,,,
HEX1[4],Output,PIN_AF29,5A,B5A_N0,PIN_E8,,,,,,,,,,,,,,
HEX1[3],Output,PIN_AG30,5A,B5A_N0,PIN_C8,,,,,,,,,,,,,,
HEX1[2],Output,PIN_AH30,5A,B5A_N0,PIN_AK8,,,,,,,,,,,,,,
HEX1[1],Output,PIN_AH29,5A,B5A_N0,PIN_AK6,,,,,,,,,,,,,,
HEX1[0],Output,PIN_AJ29,5A,B5A_N0,PIN_W19,,,,,,,,,,,,,,
HEX2[6],Output,PIN_AC30,5B,B5B_N0,PIN_AA26,,,,,,,,,,,,,,
HEX2[5],Output,PIN_AC29,5B,B5B_N0,PIN_AK29,,,,,,,,,,,,,,
HEX2[4],Output,PIN_AD30,5B,B5B_N0,PIN_A10,,,,,,,,,,,,,,
HEX2[3],Output,PIN_AC28,5B,B5B_N0,PIN_AF10,,,,,,,,,,,,,,
HEX2[2],Output,PIN_AD29,5B,B5B_N0,PIN_AD11,,,,,,,,,,,,,,
HEX2[1],Output,PIN_AE29,5B,B5B_N0,PIN_AJ29,,,,,,,,,,,,,,
HEX2[0],Output,PIN_AB23,5A,B5A_N0,PIN_AA24,,,,,,,,,,,,,,
HEX3[6],Output,PIN_AB22,5A,B5A_N0,PIN_C7,,,,,,,,,,,,,,
HEX3[5],Output,PIN_AB25,5A,B5A_N0,PIN_A9,,,,,,,,,,,,,,
HEX3[4],Output,PIN_AB28,5B,B5B_N0,PIN_AH28,,,,,,,,,,,,,,
HEX3[3],Output,PIN_AC25,5A,B5A_N0,PIN_AA18,,,,,,,,,,,,,,
HEX3[2],Output,PIN_AD25,5A,B5A_N0,PIN_AG6,,,,,,,,,,,,,,
HEX3[1],Output,PIN_AC27,5A,B5A_N0,PIN_AH24,,,,,,,,,,,,,,
HEX3[0],Output,PIN_AD26,5A,B5A_N0,PIN_AH29,,,,,,,,,,,,,,
HEX4[6],Output,PIN_W25,5B,B5B_N0,PIN_W17,,,,,,,,,,,,,,
HEX4[5],Output,PIN_V23,5A,B5A_N0,PIN_G13,,,,,,,,,,,,,,
HEX4[4],Output,PIN_W24,5A,B5A_N0,PIN_AE22,,,,,,,,,,,,,,
HEX4[3],Output,PIN_W22,5A,B5A_N0,PIN_K7,,,,,,,,,,,,,,
HEX4[2],Output,PIN_Y24,5A,B5A_N0,PIN_B13,,,,,,,,,,,,,,
HEX4[1],Output,PIN_Y23,5A,B5A_N0,PIN_V17,,,,,,,,,,,,,,
HEX4[0],Output,PIN_AA24,5A,B5A_N0,PIN_V23,,,,,,,,,,,,,,
HEX5[6],Output,PIN_AA25,5A,B5A_N0,PIN_AC20,,,,,,,,,,,,,,
HEX5[5],Output,PIN_AA26,5B,B5B_N0,PIN_AF13,,,,,,,,,,,,,,
HEX5[4],Output,PIN_AB26,5A,B5A_N0,PIN_AG11,,,,,,,,,,,,,,
HEX5[3],Output,PIN_AB27,5B,B5B_N0,PIN_AF21,,,,,,,,,,,,,,
HEX5[2],Output,PIN_Y27,5B,B5B_N0,PIN_AD9,,,,,,,,,,,,,,
HEX5[1],Output,PIN_AA28,5B,B5B_N0,PIN_AJ27,,,,,,,,,,,,,,
HEX5[0],Output,PIN_V25,5B,B5B_N0,PIN_D10,,,,,,,,,,,,,,
KEY[3],Input,PIN_Y16,3B,B3B_N0,PIN_C2,,,,,,,,,,,,,,
KEY[2],Input,PIN_W15,3B,B3B_N0,PIN_J9,,,,,,,,,,,,,,
KEY[1],Input,PIN_AA15,3B,B3B_N0,PIN_AJ7,,,,,,,,,,,,,,
KEY[0],Input,PIN_AA14,3B,B3B_N0,PIN_AG25,,,,,,,,,,,,,,
LEDR[9],Output,PIN_Y21,5A,B5A_N0,PIN_AG10,,,,,,,,,,,,,,
LEDR[8],Output,PIN_W21,5A,B5A_N0,PIN_J10,,,,,,,,,,,,,,
